Piimpofdeath,Draconian Belt,2024-09-28,0
Patlolx,Primeval Belt,2024-09-28,0
Onimass,Flashrend,2024-09-28,0
Hunchard,Arcane Infused Gem,2024-09-28,0
Drundra,Depleted Scythe of Chaos,2024-09-28,0
Davidfang,Draconian Gloves,2024-09-28,0
Lovablw,Draconian Gloves,2024-09-28,0
Ashworthh,Shapeshifter's Sigil,2024-09-28,0
Drundra,Band of Dark Dominion,2024-09-28,0
Graysmane,Shimmering Golden Disk,2024-09-28,0
Vsanguinar,Primeval Leggings,2024-09-28,0
Ateri,Blood of the Lightbringer,2024-09-28,0
Drundra,Bracers of Arcane Accuracy,2024-09-28,0
Dawuid,Primeval Boots,2024-09-28,0
Sukiyakidon,Draconian Boots,2024-09-28,0
Lawyercao,Spineshatter,2024-10-05,0
Ateri,Ancient Gloves,2024-10-05,0
Sylvanes,Ancient Gloves,2024-10-05,0
Jetermesdan,Helm of Endless Rage,2024-10-05,0
Xzéizéi,Primeval Leggings,2024-10-05,0
Jetermesdan,Blood of the Lightbringer,2024-10-05,0
Measurezero,Draconian Boots,2024-10-05,0
Gaab,Heartstriker,2024-10-05,0
Measurezero,Pattern: Felcloth Shoulders,2024-10-05,1
Kirs,Scrolls of Blinding Light,2024-10-05,0
Sukiyakidon,Essence Gatherer,2024-10-05,0
Davidfang,Draconian Leggings,2024-10-05,0
Ashworthh,Primeval Helm,2024-10-05,0
Gady,Primeval Helm,2024-10-05,0
Ateri,Shroud of Pure Thought,2024-10-05,0
Xzéizéi,Cloak of Draconic Might,2024-10-05,0
Fatesbell,Tarnished Bronze Scale,2024-10-05,0
Bilina,Ancient Shoulderpads,2024-10-05,0
Healingclaw,Primeval Shoulderpads,2024-10-05,0
Vsanguinar,Chromatically Tempered Sword,2024-10-05,0
Dawuid,Primeval Gloves,2024-10-05,0
Lawyercao,Ancient Gloves,2024-10-05,0
Graysmane,Primeval Chest,2024-10-05,0
Djken,Primeval Belt,2024-10-05,0
Fatesbell,Draconian Bindings,2024-10-05,0
Gaab,Dragonfang Blade,2024-10-05,0
Sylvanes,Heartstriker,2024-10-05,0
Fatesbell,Lok'amir il Romathis,2024-10-05,0
Vsanguinar,Primeval Gloves,2024-10-05,0
Gaab,Ancient Leggings,2024-10-05,0
Healingclaw,Primeval Chest,2024-10-05,0
Mengniuss,Draconian Robe,2024-10-05,0
Jetermesdan,Ancient Bindings,2024-10-05,0
Vsanguinar,Prestor's Talisman of Connivery,2024-10-05,0
Davidfang,Neltharion's Tear,2024-10-05,0
Djken,Blue Sack of Gems,2024-10-05,0
Mengniuss,Depleted Scythe of Chaos,2024-10-12,0
Bilina,Gloves of Rapid Evolution,2024-10-12,0
Sylvanes,Ancient Gloves,2024-10-12,0
Sukiyakidon,Draconian Gloves,2024-10-12,0
Bilina,Adventurer's Legguards of Power,2024-10-12,0
Ckay,Draconian Boots,2024-10-12,0
Tandy,Blood of the Lightbringer,2024-10-12,0
Ashworthh,Primeval Boots,2024-10-12,0
Lawyercao,"Maladath, Runed Blade of the Black Flight",2024-10-12,0
Healingclaw,Primeval Leggings,2024-10-12,0
Xzéizéi,Dragonfang Blade,2024-10-12,0
Sukiyakidon,Boots of Pure Thought,2024-10-12,0
Ckay,Shimmering Golden Disk,2024-10-12,0
Sukiyakidon,Draconian Leggings,2024-10-12,0
Ashworthh,Draconic Maul,2024-10-12,0
Davidfang,Firemaw's Clutch,2024-10-12,0
Sukiyakidon,Pattern: Mooncloth Shoulders,2024-10-12,0
Vsanguinar,Mighty Helmet of the Whale,2024-10-12,0
Fatesbell,Dragon's Touch,2024-10-12,0
Nanica,Shadow Wing Focus Staff,2024-10-12,0
Fatesbell,Band of Forced Concentration,2024-10-12,0
Sylvanes,Ancient Helm,2024-10-12,0
Davidfang,Draconian Hood,2024-10-12,0
Tandy,Ancient Shoulderpads,2024-10-12,0
Duckyc,Ancient Shoulderpads,2024-10-12,0
