winner,item_id,item_link,timestamp,is_off_spec,is_soft_res,master_looter
Ashworthh,230244,[Shapeshifter's Sigil],1727538954,False,False,Celestieaw
Ashworthh,231719,[Primeval Helm],1728139721,False,False,Celestieaw
Ashworthh,231721,[Primeval Boots],1728740506,False,True,Sukiyakidon
Ashworthh,230844,[Draconic Maul],1728742182,False,False,Sukiyakidon
Ashworthh,230282,[Drake Fang Talisman],1729343586,False,True,Sukiyakidon
Ashworthh,8303,[Hero's Breastplate],1729344319,False,False,Sukiyakidon
Ateri,231452,[Blood of the Lightbringer],1727540846,False,False,Celestieaw
Ateri,231729,[Ancient Gloves],1728133792,False,False,Celestieaw
Ateri,230733,[Shroud of Pure Thought],1728139784,False,False,Celestieaw
Ateri,231731,[Ancient Chest],1728755362,False,True,Sukiyakidon
Ateri,231726,[Ancient Shoulderpads],1728755539,False,False,Sukiyakidon
Ateri,231730,[Ancient Boots],1729342270,False,True,Sukiyakidon
Ateri,230248,[Red Dragonscale Protector],1729342463,False,False,Sukiyakidon
Ateri,10263,[Adventurer's Shoulders of Defense],1729347079,False,False,Sukiyakidon
Ateri,231727,[Ancient Leggings],1729347239,False,True,Sukiyakidon
Ateri,231512,[Primal Hakkari Idol],1729352497,False,True,Sukiyakidon
Ateri,231512,[Primal Hakkari Idol],1729354164,False,True,Sukiyakidon
Bigfricker,228298,[Shard of the Scale],1728770694,False,False,Inquizzition
Bilina,231726,[Ancient Shoulderpads],1728139977,False,False,Celestieaw
Bilina,230239,[Gloves of Rapid Evolution],1728738256,False,False,Sukiyakidon
Bilina,10262,[Adventurer's Legguards of Power],1728740048,False,False,Sukiyakidon
Bilina,231727,[Ancient Leggings],1729347307,False,False,Sukiyakidon
Blinkzz,230904,[Scroll: SEENECS FO RIEF],1729341252,False,False,Sukiyakidon
Blinkzz,231709,[Draconian Shoulderpads],1729346100,False,True,Sukiyakidon
Blinkzz,231712,[Draconian Gloves],1729347130,False,False,Sukiyakidon
